Radiophysics test technologies (RFTT),http://certific.ru/|,Adopter
#NAME?,http://www.plusplugg.com/|,Adopter
00 Start,http://00start.com|,Adopter
01Insights  Inc,http://www.01insights.com|,Adopter
01dB-METRAVIB,undefined|,Adopter
1 Device Labs,undefined|,Adopter
1 Smartech LED  Inc.,undefined|,Adopter
1. PF  s.r.o.,undefined|,Adopter
100-me Technology(Beijing)Co. Ltd,http://www.100-me.com|,Adopter
123 Goal LLC,http://123goalllc.com|,Adopter
127 Software Limited,http://127software.nl/|,Adopter
12c Solutions,http://12c.jp|,Adopter
1313 Global Limited,undefined|,Adopter
13fx,undefined|,Adopter
1651358 Ontarion Ltd. DBA Bulldog Imports,undefined|,Adopter
16Lab Inc,http://16lab.net|,Adopter
18 Degrees Below Ltd,http://www.18degs.com|,Adopter
180s,http://www.180s.com|,Adopter
1855Buckled,undefined|,Adopter
1A Electronics & Industrial Co. Ltd.,undefined|,Adopter
1C Wireless,http://www.1cwireless.com|,Adopter
1Control s.r.l.,http://www.1control.it|,Adopter
1MORE  INC.,http://www.1more.com|,Associate
1More Music Technology Co.  Ltd.,undefined|,Adopter
1Oak,http://www.1oaktechnologies.com/|,Adopter
1SMS,http://www.1sms.us|,Adopter
1UP USA.com llc,http://www.1up-usa.com|,Adopter
1byone Products Inc.,http://1byone.com/|,Adopter
1stTransaction Corporation,http://www.1sttransaction.com|,Adopter
2 step,http://2steplimited.co.uk|,Adopter
2-Way-Street LLC,http://wwww.2-way-st.com|,Adopter
2001,http://www.2k1.co.uk|,Adopter
2001 Technology Inc.,http://www.2001tech.com|,Adopter
2048450 Ontario Inc,undefined|,Associate
20:20 Mobile (UK) Ltd,http://www.2020mobile.com/|,Adopter
21cn computer,http://www.21cn.com|,Adopter
21st Century Creations  LLC,http://21centurycreations.com|,Adopter
22Moo International Pty Ltd,http://www.22moo.com.au|,Adopter
22seeds,http://www.22seeds.com|,Adopter
23 DE ENERO,undefined|,Adopter
24 Hour Fitness USA  Inc.,http://www.24hourfitness.com|,Adopter
2439418 Ontario Inc,http://www.crew49.com|,Adopter
24x7Lab LLC,undefined|,Adopter
24x8  LLC,http://www.24x8.com|,Adopter
270 Vision,undefined|,Adopter
29degrees Limited,http://29degrees.co.uk/|,Adopter
2DMULTIMEDIA,http://www.2dcom.com|,Adopter
2Dmedia Ltd,http://www.2dmedia.co.uk|,Adopter
2GoBuds,http://www.2gobuds.com|,Adopter
2HC Logistics,undefined|,Adopter
2K development Handels GmbH,http://www.2kdevelopment.com|,Adopter
2KLIC Inc.,http://www.2klic.com|,Adopter
2Kamp Products,http://2kampproducts.com|,Adopter
2L International BV,undefined|,Adopter
2M Engineering,http://www.2mel.nl/|,Adopter
2N TELEKOMUNIKACE a.s.,http://www.2n.cz|,Adopter
2N-Everpol Sp. z o.o.,http://www.everpol.pl|,Adopter
2Realpeople Solutions,http://www.2realpeople.com|,Adopter
2Resist GesmbH,http://www.2resist.com/|,Adopter
2breathe Techonologies Ltd.,undefined|,Adopter
